Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Feb,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,1996
CASC,LC-2,Xichang Satellite Launch Center,,China,Feb,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,1996
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1996
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jan,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jan,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1995
CASC,LC-2,Xichang Satellite Launch Center,,China,Dec,1995
VKS RF,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1995
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Dec,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1995
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Dec,1995
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1995
CASC,LC-2,Xichang Satellite Launch Center,,China,Nov,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1995
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1995
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,1995
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Oct,1995
EER,LP-0A,Wallops Flight Facility,Virginia,USA,Oct,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1995
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1995
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1995
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Sep,1995
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Aug,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1995
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1995
Lockheed,SLC-6,Vandenberg AFB,California,USA,Aug,1995
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1995
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1995
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1995
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,1995
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1995
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,1995
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Jun,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1995
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,May,1995
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,May,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,May,1995
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,May,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,1995
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Apr,1995
IAI,Pad 1,Palmachim Airbase,,Israel,Apr,1995
Northrop,Stargazer,Vandenberg AFB,California,USA,Apr,1995
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Mar,1995
MITT,Site 158,Plesetsk Cosmodrome,,Russia,Mar,1995
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1995
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1995
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1995
MHI,LA-Y1,Tanegashima Space Center,,Japan,Mar,1995
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1995
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1995
NASA,LC-39B,Kennedy Space Center,Florida,USA,Feb,1995
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1995
CASC,LC-2,Xichang Satellite Launch Center,,China,Jan,1995
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1995
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Jan,1995
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jan,1995
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1994
VKS RF,Site 175/58,Baikonur Cosmodrome,,Kazakhstan,Dec,1994
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1994
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1994
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1994
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1994
CASC,LC-2,Xichang Satellite Launch Center,,China,Nov,1994
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1994
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Nov,1994
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Nov,1994
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Nov,1994
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,1994
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Nov,1994
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,1994
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Oct,1994
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Oct,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1994
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1994
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1994
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1994
Northrop,NB-52B Carrier,Edwards AFB,California,USA,Sep,1994
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Aug,1994
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1994
CASC,LC-2,Xichang Satellite Launch Center,,China,Aug,1994
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1994
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Aug,1994
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1994
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,Aug,1994
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1994
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Aug,1994
CASC,LC-3,Xichang Satellite Launch Center,,China,Jul,1994
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Jul,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1994
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Jul,1994
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,1994
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,1994
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,May,1994
Northrop,NB-52B Carrier,Edwards AFB,California,USA,May,1994
ISRO,SLV LP,Satish Dhawan Space Centre,,India,May,1994
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,May,1994
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Apr,1994
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Apr,1994
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1994
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1994
Northrop,SLC-576E,Vandenberg AFB,California,USA,Mar,1994
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1994
NASA,LC-39B,Kennedy Space Center,Florida,USA,Mar,1994
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Mar,1994
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Feb,1994
CASC,LC-2,Xichang Satellite Launch Center,,China,Feb,1994
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,1994
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1994
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,1994
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Jan,1994
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Jan,1994
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jan,1994
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Dec,1993
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1993
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,1993
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1993
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,1993
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,1993
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1993
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1993
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1993
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Oct,1993
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Oct,1993
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1993
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Sep,1993
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Sep,1993
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Sep,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,1993
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1993
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Aug,1993
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1993
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,Aug,1993
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Aug,1993
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1993
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Aug,1993
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,1993
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1993
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Jul,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1993
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,1993
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Jun,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jun,1993
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1993
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,May,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,May,1993
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,May,1993
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,May,1993
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Apr,1993
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1993
Northrop,NB-52B Carrier,Edwards AFB,California,USA,Apr,1993
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Apr,1993
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Apr,1993
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,Apr,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1993
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Apr,1993
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Apr,1993
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Mar,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1993
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Mar,1993
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1993
MITT,Site 158,Plesetsk Cosmodrome,,Russia,Mar,1993
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Mar,1993
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1993
Northrop,NB-52B Carrier,Cape Canaveral AFS,Florida,USA,Feb,1993
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Feb,1993
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1993
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,Jan,1993
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jan,1993
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jan,1993
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Jan,1993
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1992
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Dec,1992
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1992
CASC,LC-2,Xichang Satellite Launch Center,,China,Dec,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Dec,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1992
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Dec,1992
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1992
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1992
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Nov,1992
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Nov,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1992
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,Nov,1992
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Nov,1992
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Oct,1992
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1992
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Oct,1992
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Oct,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1992
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Oct,1992
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,1992
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,1992
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1992
CASC,LC-2,Xichang Satellite Launch Center,,China,Aug,1992
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Aug,1992
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1992
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Aug,1992
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1992
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jul,1992
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,1992
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jul,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1992
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1992
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jul,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1992
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1992
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1992
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jun,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1992
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1992
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Apr,1992
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,1992
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Apr,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1992
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1992
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1992
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1992
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Mar,1992
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,1992
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Feb,1992
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1992
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1992
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Feb,1992
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jan,1992
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1992
CASC,LC-3,Xichang Satellite Launch Center,,China,Dec,1991
RVSN USSR,Site 175/58,Baikonur Cosmodrome,,Kazakhstan,Dec,1991
Yuzhmash,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1991
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1991
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1991
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Nov,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1991
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Nov,1991
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1991
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1991
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Sep,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1991
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1991
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Aug,1991
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Aug,1991
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1991
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1991
MHI,SLC-N,Tanegashima Space Center,,Japan,Aug,1991
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Aug,1991
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Aug,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1991
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1991
Northrop,NB-52B Carrier,Edwards AFB,California,USA,Jul,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,1991
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1991
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1991
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jun,1991
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jun,1991
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jun,1991
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jun,1991
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jun,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1991
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,May,1991
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,May,1991
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1991
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Apr,1991
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1991
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Apr,1991
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,1991
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Mar,1991
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1991
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Mar,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1991
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Mar,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Mar,1991
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Feb,1991
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Feb,1991
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Feb,1991
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Feb,1991
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jan,1991
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Jan,1991
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jan,1991
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1991
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1990
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Dec,1990
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Dec,1990
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,1990
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1990
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Nov,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1990
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Nov,1990
RVSN USSR,Site 131/29,Baikonur Cosmodrome,,Kazakhstan,Nov,1990
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,1990
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Nov,1990
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1990
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Nov,1990
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1990
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1990
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1990
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Oct,1990
RVSN USSR,Site 45/2,Baikonur Cosmodrome,,Kazakhstan,Oct,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Oct,1990
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Sep,1990
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,1990
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Sep,1990
CASC,Taiyuan Satellite Launch Center,China,,,Sep,1990
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1990
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Aug,1990
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1990
MHI,SLC-N,Tanegashima Space Center,,Japan,Aug,1990
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1990
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Aug,1990
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1990
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Aug,1990
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jul,1990
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jul,1990
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Jul,1990
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,1990
CASC,LC-2,Xichang Satellite Launch Center,,China,Jul,1990
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jun,1990
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1990
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1990
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1990
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1990
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,1990
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1990
RVSN USSR,Site 45/2,Baikonur Cosmodrome,,Kazakhstan,May,1990
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Apr,1990
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Apr,1990
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Apr,1990
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1990
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Apr,1990
